kim,branch,state,city,address,zipcode,longitude,latitude,phone
스타벅스,이태원점,서울특별시,용산구,서울특별시 용산구 이태원로 188,140200,126.9947813,37.53430294,02-567-5678
스타벅스,신사2점,서울특별시,서초구,서울특별시 서초구 강남대로 581,137904,127.0197628,37.51366263,02-567-5679
스타벅스,삼성역점,서울특별시,강남구,서울특별시 강남구 테헤란로103길 9,135090,127.0638782,37.51003785,02-567-5680
스타벅스,신림포도몰점,서울특별시,관악구,서울특별시 관악구 신림로 330,151930,126.9302159,37.48384475,02-567-5681
스타벅스,천호동점,서울특별시,강동구,서울특별시 강동구 천호대로157길 19,134020,127.1270214,37.53878758,02-567-5682
스타벅스,신사역점,서울특별시,강남구,서울특별시 강남구 도산대로 108,135010,127.0206347,37.5161838,02-567-5683
스타벅스,문래역점,서울특별시,영등포구,서울특별시 영등포구 당산로 34,150835,126.8964787,37.51744978,02-567-5684
스타벅스,서강대점,서울특별시,마포구,서울특별시 마포구 백범로 23,121854,126.9375433,37.55242638,02-567-5685
스타벅스,까치산역점,서울특별시,강서구,서울특별시 강서구 강서로13길 3,157010,126.846036,37.53228534,02-567-5686
스타벅스,영풍문고점,서울특별시,종로구,서울특별시 종로구 청계천로 41,110752,126.9821598,37.56965992,02-567-5687
스타벅스,코엑스몰점,서울특별시,강남구,서울특별시 강남구 영동대로 513,135798,127.0571003,37.5129394,02-567-5688
스타벅스,보라매타운점,서울특별시,동작구,서울특별시 동작구 보라매로5길 43,156728,126.9233568,37.49142334,02-567-5689
스타벅스,여의도일신점,서울특별시,영등포구,서울특별시 영등포구 은행로 11,150872,126.9202192,37.52790507,02-567-5690
스타벅스,월곡역점,서울특별시,성북구,서울특별시 성북구 화랑로 76,136743,127.0404418,37.60181969,02-567-5691
스타벅스,몬테소리점,서울특별시,서초구,서울특별시 서초구 강남대로 399,137070,127.0268289,37.49825898,02-567-5692
스타벅스,한티역점,서울특별시,강남구,서울특별시 강남구 도곡로 408,135280,127.0552134,37.4966152,02-567-5693
스타벅스,청담공원점,서울특별시,강남구,서울특별시 강남구 학동로 506,135090,127.0514396,37.51868785,02-567-5694
스타벅스,서초동점,서울특별시,서초구,서울특별시 서초구 남부순환로339길 64,137070,127.0215728,37.48591615,02-567-5695
스타벅스,이대이씨씨점,서울특별시,서대문구,서울특별시 서대문구 이화여대길 52,120750,126.9503015,37.56428106,02-567-5696
스타벅스,순화동에이스점,서울특별시,중구,서울특별시 중구 통일로 92,100712,126.9692029,37.5635826,02-567-5697
스타벅스,신촌대로점,서울특별시,서대문구,서울특별시 서대문구 신촌로 121,120833,126.939278,37.55619932,02-567-5698
스타벅스,문화일보점,서울특별시,중구,서울특별시 중구 새문안로 22,100723,126.9686221,37.56711862,02-567-5699
스타벅스,순천향입구점,서울특별시,용산구,서울특별시 용산구 대사관로 67,140887,127.0056326,37.53341267,02-567-5700
스타벅스,강남구청역점,서울특별시,강남구,서울특별시 강남구 선릉로 669,135010,127.0412398,37.51660516,02-567-5701
스타벅스,등촌점,서울특별시,강서구,서울특별시 강서구 공항대로 329,157030,126.8443343,37.5582365,02-567-5702
스타벅스,가양이마트점,서울특별시,강서구,서울특별시 강서구 양천로 559,157200,126.8617991,37.55818091,02-567-5703
스타벅스,역삼초교사거리점,서울특별시,강남구,서울특별시 강남구 역삼로 123,135080,127.0330005,37.49412876,02-567-5704
스타벅스,안암역점,서울특별시,성북구,서울특별시 성북구 인촌로 102-2,136075,127.0307477,37.5860984,02-567-5705
스타벅스,구의디티점,서울특별시,광진구,서울특별시 광진구 광나루로 519,143200,127.0871794,37.54529828,02-567-5706
스타벅스,문래동점,서울특별시,영등포구,서울특별시 영등포구 선유로 64,150836,126.8896814,37.5196567,02-567-5707
스타벅스,아시아선수촌점,서울특별시,송파구,서울특별시 송파구 백제고분로 69,138220,127.0790291,37.51052638,02-567-5708
스타벅스,신당역점,서울특별시,중구,서울특별시 중구 퇴계로 385,100880,127.0143311,37.56539165,02-567-5709
스타벅스,대치역점,서울특별시,강남구,서울특별시 강남구 남부순환로 2936,135280,127.0619041,37.49334362,02-567-5710
스타벅스,묵동이마트점,서울특별시,중랑구,서울특별시 중랑구 동일로 932,131757,127.0775414,37.61382905,02-567-5711
스타벅스,남산단암점,서울특별시,중구,서울특별시 중구 소월로 10,100704,126.9753958,37.5585276,02-567-5712
스타벅스,내방역점,서울특별시,서초구,서울특별시 서초구 방배로 184,137060,126.9924576,37.49001452,02-567-5713
스타벅스,고대안암병원점,서울특별시,성북구,서울특별시 성북구 안암로 145,136701,127.0317018,37.58848499,02-567-5714
스타벅스,잠실역점,서울특별시,송파구,서울특별시 송파구 송파대로 562,138728,127.0995353,37.51532494,02-567-5715
스타벅스,삼성현대힐점,서울특별시,강남구,서울특별시 강남구 삼성로 605,135090,127.0527047,37.51347189,02-567-5716
스타벅스,수서점,서울특별시,강남구,서울특별시 강남구 밤고개로1길 10,135539,127.1018421,37.48801336,02-567-5717
스타벅스,을지로입구역점,서울특별시,중구,서울특별시 중구 을지로 50,100845,126.9833126,37.56563319,02-567-5718
스타벅스,서울세관사거리점,서울특별시,강남구,서울특별시 강남구 언주로 650,135010,127.0357413,37.51491147,02-567-5719
스타벅스,북촌로점,서울특별시,종로구,서울특별시 종로구 북촌로4길 23,110801,126.9864535,37.57943711,02-567-5720
스타벅스,역삼포스코점,서울특별시,강남구,서울특별시 강남구 테헤란로 134,135080,127.0337924,37.49937038,02-567-5721
스타벅스,자양점,서울특별시,광진구,서울특별시 광진구 능동로 50,143190,127.0691588,37.53566952,02-567-5722
스타벅스,신논현역점,서울특별시,서초구,서울특별시 서초구 강남대로 483,137040,127.023627,37.50531485,02-567-5723
스타벅스,수유역점,서울특별시,강북구,서울특별시 강북구 도봉로 342,142060,127.0261078,37.63802308,02-567-5724
스타벅스,신촌아트레온점,서울특별시,서대문구,서울특별시 서대문구 신촌로 129,120833,126.9403142,37.55655102,02-567-5725
스타벅스,서래마을입구점,서울특별시,서초구,서울특별시 서초구 서래로 48,137040,126.9985423,37.49925701,02-567-5726
스타벅스,장한평역점,서울특별시,동대문구,서울특별시 동대문구 장한로 10,130100,127.0654766,37.56234757,02-567-5727
스타벅스,한솔빌딩점,서울특별시,강남구,서울특별시 강남구 테헤란로 142,135983,127.0349412,37.49974019,02-567-5728
스타벅스,서울아트센터점,서울특별시,서초구,서울특별시 서초구 남부순환로 2395,137070,127.0123471,37.48066733,02-567-5729
스타벅스,대명거리점,서울특별시,종로구,서울특별시 종로구 대명길 5,110524,127.0011396,37.58351787,02-567-5730
스타벅스,동숭로아트점,서울특별시,종로구,서울특별시 종로구 동숭길 110,110809,127.003887,37.58296442,02-567-5731
스타벅스,파미에파크점,서울특별시,서초구,서울특별시 서초구 사평대로 205,137040,127.0078261,37.50448036,02-567-5732
스타벅스,가로수길점,서울특별시,강남구,서울특별시 강남구 논현로175길 94,135888,127.0216293,37.52318421,02-567-5733
스타벅스,당산점,서울특별시,영등포구,서울특별시 영등포구 양평로 64,150810,126.899952,37.53513359,02-567-5734
스타벅스,청담점,서울특별시,강남구,서울특별시 강남구 도산대로 532,135952,127.0515717,37.52433852,02-567-5735
스타벅스,뉴코아강남점,서울특별시,서초구,서울특별시 서초구 잠원로 69,137908,127.006958,37.51024881,02-567-5736
스타벅스,발산역점,서울특별시,강서구,서울특별시 강서구 강서로 388,157930,126.8392902,37.5601783,02-567-5737
스타벅스,포이점,서울특별시,강남구,서울특별시 강남구 논현로 88,135240,127.0451163,37.47781003,02-567-5738
스타벅스,이태원입구점,서울특별시,용산구,서울특별시 용산구 이태원로 138-1,140200,126.9892412,37.53399435,02-567-5739
스타벅스,군자역점,서울특별시,광진구,서울특별시 광진구 천호대로 548,143838,127.0790129,37.5569305,02-567-5740
스타벅스,여의도의사당점,서울특별시,영등포구,서울특별시 영등포구 국회대로74길 12,150870,126.9210478,37.53007514,02-567-5741
스타벅스,학동역점,서울특별시,강남구,서울특별시 강남구 논현로 704,135010,127.0307455,37.51460026,02-567-5742
스타벅스,은행사거리점,서울특별시,노원구,서울특별시 노원구 중계로 217,139220,127.0759774,37.65049809,02-567-5743
스타벅스,사당역점,서울특별시,동작구,서울특별시 동작구 동작대로 21,156090,126.9813515,37.4784759,02-567-5744
스타벅스,포스코점,서울특별시,강남구,서울특별시 강남구 삼성로86길 7,135280,127.0579257,37.50576457,02-567-5745
